INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (1, NULL, 'Anggabaya Herlambang', 'UNIVERSITAS SULAWESI TENGAH', 'Angeline95@gmail.co.id', '1267640312452474')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (12, NULL, 'Cawuk Wijaya', 'UNIVERSITAS LAMPUNG', 'Gustave.Handoko@gmail.com', '7862152620428920')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (13, NULL, 'Budi Yudhistira', 'UNIVERSITAS JAWA BARAT', 'Chester64@yahoo.com', '5557134401658465')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (14, NULL, 'Vanesa Salma', 'UNIVERSITAS SULAWESI UTARA', 'Titus_Usada14@yahoo.com', '7644955914468787')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (15, 3, 'Sadina Anjani', 'UNIVERSITAS KALIMANTAN TENGAH', 'Jennie36@yahoo.com', '0030241758722213')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (16, NULL, 'Jasmani Saefullah', 'UNIVERSITAS PAPUA', 'Felicia.Nainggolan39@yahoo.com', '7943185021569986')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (17, NULL, 'Daniswara Himawan', 'UNIVERSITAS KALIMANTAN UTARA', 'Matilda51@gmail.com', '0651617884938091')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (18, NULL, 'Umi Zahrah', 'UNIVERSITAS DI YOGYAKARTA', 'Holden.Namaga69@gmail.com', '7352856771107622')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (19, NULL, 'Umaya Mahendra', 'UNIVERSITAS JAMBI', 'Jayme.Sitorus@yahoo.com', '6937646014026234')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (20, 4, 'Pratiwi Rahayu S.E.', 'UNIVERSITAS BANTEN', 'Jermey.Alamsyah54@gmail.com', '8861121438926563')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (21, NULL, 'Febi Anggraini', 'UNIVERSITAS SULAWESI UTARA', 'Patsy43@yahoo.com', '3085341533359096')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (22, NULL, 'Kasim Tarihoran S.Psi', 'UNIVERSITAS MALUKU UTARA', 'Osbaldo.Marpaung@yahoo.co.id', '5378231522866954')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (23, NULL, 'Nimas Yolanda', 'UNIVERSITAS SUMATERA BARAT', 'Otis80@yahoo.com', '3357484974087011')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (24, NULL, 'Kemal Marbun', 'UNIVERSITAS BANGKA BELITUNG', 'Myriam_Marbun47@yahoo.com', '9053258471713351')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (25, 5, 'Maimunah Lestari S.H.', 'UNIVERSITAS BANGKA BELITUNG', 'Douglas_Putri@gmail.co.id', '0020949400174925')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (26, NULL, 'Cahyo Fabian', 'UNIVERSITAS SUMATERA BARAT', 'Keeley_Andriani@yahoo.co.id', '2101626844447410')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (27, NULL, 'Tirta Handoko', 'UNIVERSITAS RIAU', 'Melany41@gmail.com', '1059887093387967')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (28, NULL, 'Salsabila Widiastuti', 'UNIVERSITAS KALIMANTAN BARAT', 'Camren81@yahoo.co.id', '7950728489658995')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (29, NULL, 'Pardi Siregar', 'UNIVERSITAS MALUKU', 'Arnoldo_Haikal78@yahoo.co.id', '5570724933529559')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (30, 6, 'Julia Usamah', 'UNIVERSITAS KEPULAUAN RIAU', 'Arvilla15@yahoo.com', '7652480756750447')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (31, NULL, 'Tri Adhitama', 'UNIVERSITAS KALIMANTAN TIMUR', 'Leslie43@yahoo.co.id', '7304862263492918')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (32, NULL, 'Halima Usamah', 'UNIVERSITAS RIAU', 'Reece.Simanjuntak@gmail.com', '6664594951326479')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (33, NULL, 'Farah Ningrum', 'UNIVERSITAS KALIMANTAN SELATAN', 'Yasmin_Firmansyah53@gmail.co.id', '6476437480629058')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (34, NULL, 'Dalima Pratiwi', 'UNIVERSITAS PAPUA', 'Yasmeen.Safitri@gmail.com', '2298776183072530')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (35, 7, 'Kunthara Ardana S.Ked', 'UNIVERSITAS DKI JAKARTA', 'Tressa62@yahoo.com', '0943023848000525')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (36, NULL, 'Kamila Mandasari S.E.I', 'UNIVERSITAS MALUKU', 'Lysanne_Rahimah@gmail.com', '9160276074354620')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (37, NULL, 'Kasiran Rendra', 'UNIVERSITAS SUMATERA UTARA', 'Filomena.Salma63@gmail.co.id', '2433770578651539')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (38, NULL, 'Hendri Damanik', 'UNIVERSITAS NUSA TENGGARA BARAT', 'Mervin_Wijayanti@yahoo.co.id', '1625751328291195')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (39, NULL, 'Gamanto Haikal M.TI.', 'UNIVERSITAS PAPUA BARAT', 'Sylvester.Febian19@yahoo.com', '6315891123723356')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (40, 8, 'Wardaya Airlangga S.E.I', 'UNIVERSITAS SULAWESI TENGGARA', 'Kaela.Febian24@yahoo.com', '9293512880357033')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (41, NULL, 'Paris Mustika S.H.', 'UNIVERSITAS KALIMANTAN TENGAH', 'Claud58@yahoo.com', '2004921697290971')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (42, NULL, 'Kezia Mulyani', 'UNIVERSITAS SULAWESI UTARA', 'Joseph32@yahoo.co.id', '6114406345758192')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (43, NULL, 'Lutfan Januar', 'UNIVERSITAS BANTEN', 'Keara52@gmail.com', '6314665837335372')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (44, NULL, 'Fitria Winarsih S.Ked', 'UNIVERSITAS KALIMANTAN TENGAH', 'Kevon88@gmail.com', '0780590085626870')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (45, 9, 'Mahmud Winarno', 'UNIVERSITAS SULAWESI TENGGARA', 'Leonie76@yahoo.com', '2564463403033576')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (46, NULL, 'Eko Salahudin', 'UNIVERSITAS SULAWESI TENGAH', 'Junior.Febian72@gmail.com', '3412622399486741')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (47, NULL, 'Uli Usada', 'UNIVERSITAS BALI', 'Miller47@yahoo.com', '9041491201870270')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (48, NULL, 'Jail Firgantoro', 'UNIVERSITAS ACEH', 'Ezequiel29@gmail.com', '4800519103498363')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (49, NULL, 'Salimah Nurlaela', 'UNIVERSITAS SULAWESI TENGGARA', 'Adam.Safitri79@yahoo.co.id', '3718754786948922')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (50, 10, 'Gasti Anandya', 'UNIVERSITAS DKI JAKARTA', 'Kirk_Maryadi98@yahoo.com', '0957113927002946')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (51, NULL, 'Pratiwi Mayasari', 'UNIVERSITAS JAMBI', 'Hugh.Jelita35@yahoo.co.id', '9159453975438706')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (52, NULL, 'Yuliana Amanta', 'UNIVERSITAS RIAU', 'Bertrand_Setiawan@yahoo.com', '1956626656798165')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (53, NULL, 'Jumadi Samosir', 'UNIVERSITAS KEPULAUAN RIAU', 'Kailey75@yahoo.co.id', '6004800615308121')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (54, NULL, 'Harsaya Prasasta', 'UNIVERSITAS SUMATERA BARAT', 'Destiny.Oktovian@yahoo.co.id', '9191744457196474')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (55, 11, 'Ghani Hardiansyah', 'UNIVERSITAS KEPULAUAN RIAU', 'Willy.Haikal@gmail.com', '8224007761854043')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (56, NULL, 'Sintia Hariyah', 'UNIVERSITAS GORONTALO', 'Kale99@gmail.com', '6274294489955583')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (57, NULL, 'Bala Rendra', 'UNIVERSITAS SULAWESI TENGGARA', 'Alberta_Setiawan16@yahoo.com', '2102514703332614')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (58, NULL, 'Ratih Rahimah', 'UNIVERSITAS DKI JAKARTA', 'Dorothea_Azizah63@gmail.com', '6397002426847936')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (59, NULL, 'Wirda Hastuti M.M.', 'UNIVERSITAS BENGKULU', 'Devante52@gmail.com', '3533463946770068')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (60, 12, 'Lantar Santoso', 'UNIVERSITAS SULAWESI SELATAN', 'Eulalia62@yahoo.co.id', '8953790864486149')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (61, NULL, 'Vania Nasyiah', 'UNIVERSITAS BENGKULU', 'Marianna_Harini@yahoo.com', '6883157094607455')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (62, NULL, 'Murti Rendra S.T.', 'UNIVERSITAS ACEH', 'Martine_Susanti91@yahoo.co.id', '2981478205394623')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (63, NULL, 'Joko Salahudin', 'UNIVERSITAS ACEH', 'Lavon56@yahoo.co.id', '0261802010726098')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (64, NULL, 'Kadir Irfandi', 'UNIVERSITAS BALI', 'Gideon.Dirgantara58@yahoo.co.id', '7304118585131601')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (65, 13, 'Ulya Prastuti', 'UNIVERSITAS JAMBI', 'Brant_Sinaga@yahoo.com', '2215762490951835')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (66, NULL, 'Bagus Yudhistira', 'UNIVERSITAS NUSA TENGGARA TIMUR', 'Emmalee12@yahoo.com', '6990165085551448')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (67, NULL, 'Dian Astuti', 'UNIVERSITAS DKI JAKARTA', 'Marilyne29@yahoo.com', '6013975520124038')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (68, NULL, 'Vanya Nurlaela', 'UNIVERSITAS SUMATERA UTARA', 'Darlene18@yahoo.com', '9358988540290639')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (69, NULL, 'Irma Wastuti', 'UNIVERSITAS PAPUA BARAT', 'Harry39@gmail.com', '7115614542280761')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (70, 14, 'Genta Kusmawati', 'UNIVERSITAS KALIMANTAN TIMUR', 'Xavier.Widodo56@yahoo.co.id', '5189075834467000')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (71, NULL, 'Bakiono Rajata S.T.', 'UNIVERSITAS SULAWESI BARAT', 'Francis_Hutasoit66@yahoo.co.id', '2308086761421511')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (72, NULL, 'Jabal Purnawarman S.Psi', 'UNIVERSITAS SULAWESI UTARA', 'Toy_Hermawan54@yahoo.com', '9753010822733498')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (73, NULL, 'Betania Wijayanti', 'UNIVERSITAS DI YOGYAKARTA', 'Dora64@gmail.com', '7179805003910025')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (74, NULL, 'Bakianto Prasetyo', 'UNIVERSITAS BANGKA BELITUNG', 'Gussie_Gunawan@yahoo.co.id', '4223140530374404')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (75, 15, 'Silvia Kusmawati', 'UNIVERSITAS JAWA BARAT', 'Ozella_Leilani@gmail.co.id', '1765202763744966')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (76, NULL, 'Safina Utami', 'UNIVERSITAS PAPUA BARAT', 'Van23@gmail.co.id', '3504610465190143')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (77, NULL, 'Wardi Antoni', 'UNIVERSITAS JAMBI', 'Elroy66@gmail.co.id', '2921927355852798')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (78, NULL, 'Ratna Puspasari', 'UNIVERSITAS JAWA BARAT', 'Krystina_Kurniawan83@gmail.com', '2317225103685382')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (79, NULL, 'Vanesa Maheswari', 'UNIVERSITAS JAMBI', 'Dorothy_Megantara60@yahoo.co.id', '2937674154491479')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (80, 16, 'Titi Anandya', 'UNIVERSITAS JAWA BARAT', 'Elvis.Zahrah4@gmail.co.id', '2897146359149733')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (81, NULL, 'Cahyono Tampubolon', 'UNIVERSITAS NUSA TENGGARA BARAT', 'Guy_Ardana50@gmail.com', '1424064382949114')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (82, NULL, 'Devi Nasyiah', 'UNIVERSITAS BANTEN', 'Danyka.Utami@gmail.co.id', '6581867734744348')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (83, NULL, 'Uda Budiyanto', 'UNIVERSITAS NUSA TENGGARA BARAT', 'Muhammad.Amanta@yahoo.co.id', '3683471098044549')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (84, NULL, 'Adinata Simbolon', 'UNIVERSITAS BALI', 'Kiley36@yahoo.com', '8338825692045804')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (85, 17, 'Jarwadi Firmansyah', 'UNIVERSITAS JAWA TENGAH', 'Alisa.Suwarno53@gmail.com', '8893643718173971')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (86, NULL, 'Kayun Hidayat', 'UNIVERSITAS GORONTALO', 'Ned_Alamsyah11@yahoo.com', '8816510851333899')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (87, NULL, 'Mitra Rajata M.Ak', 'UNIVERSITAS MALUKU UTARA', 'Emerson_Yuliarti22@gmail.co.id', '9248808286964992')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (88, NULL, 'Rudi Setiawan', 'UNIVERSITAS NUSA TENGGARA TIMUR', 'Nola.Damayanti@gmail.com', '8752366481382173')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (89, NULL, 'Zizi Kahyang', 'UNIVERSITAS SULAWESI UTARA', 'Zora.Maharani87@yahoo.co.id', '1871260660645717')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (90, 18, 'Kenes Maryadi S.Farm', 'UNIVERSITAS MALUKU UTARA', 'Talon.Wastuti@gmail.co.id', '8601396414940803')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (91, NULL, 'Balamantri Natsir', 'UNIVERSITAS SUMATERA SELATAN', 'Fabian61@gmail.com', '8690254977187431')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (92, NULL, 'Wadi Januar', 'UNIVERSITAS JAMBI', 'Bennie.Dirgantara@yahoo.co.id', '3593234007209497')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (93, NULL, 'Gibran Manullang', 'UNIVERSITAS KEPULAUAN RIAU', 'Leatha_Hasanah@yahoo.co.id', '4243140977088398')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (94, NULL, 'Cakrawangsa Prasetyo', 'UNIVERSITAS SULAWESI UTARA', 'Francis.Pradana46@yahoo.com', '5740289022659584')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (95, 19, 'Prabawa Latupono', 'UNIVERSITAS SUMATERA UTARA', 'Clement_Lailasari96@yahoo.co.id', '8168803129671323')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (96, NULL, 'Puspita Maheswari', 'UNIVERSITAS DI YOGYAKARTA', 'Kevin.Wibisono84@gmail.com', '4566329341104898')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (97, NULL, 'Hartaka Suwarno', 'UNIVERSITAS BALI', 'Ebony.Winarsih80@gmail.co.id', '5693645800392072')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (98, NULL, 'Bajragin Fabian', 'UNIVERSITAS KALIMANTAN UTARA', 'Augusta.Nurdiyanti90@gmail.co.id', '9470294989978848')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (99, NULL, 'Eka Saefullah', 'UNIVERSITAS BENGKULU', 'Luz68@gmail.co.id', '3646740712814428')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (100, 20, 'Harja Handoko', 'UNIVERSITAS BANGKA BELITUNG', 'Dean.Haryanti@gmail.com', '4474597815290447')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (101, NULL, 'Radika Abimanyu S.T.', 'UNIVERSITAS KALIMANTAN TIMUR', 'Anabel.Afifah@gmail.com', '1720282101585919')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (102, NULL, 'Ciaobella Anggraini S.I.Kom', 'UNIVERSITAS BENGKULU', 'Eusebio_Abiputra36@yahoo.co.id', '7033373477965035')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (103, NULL, 'Hesti Maheswari', 'UNIVERSITAS PAPUA', 'Jalon_Halimah47@yahoo.com', '7140272853670102')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (104, NULL, 'Caturangga Situmorang M.Kom.', 'UNIVERSITAS NUSA TENGGARA TIMUR', 'Domenico25@yahoo.co.id', '8845426519767484')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (105, 21, 'Kenes Rahardian M.Ak', 'UNIVERSITAS NUSA TENGGARA TIMUR', 'Lia_Utami@yahoo.co.id', '6017248220615955')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (106, NULL, 'Wulandari Andriani', 'UNIVERSITAS JAWA TENGAH', 'Jerod.Firgantoro@yahoo.com', '8874664716437507')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (107, NULL, 'Bella Putri S.Farm', 'UNIVERSITAS SUMATERA UTARA', 'Clinton_Samosir92@yahoo.com', '4660790249445233')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (108, NULL, 'Ikhsan Siregar', 'UNIVERSITAS JAWA TENGAH', 'Shanel_Maharani64@gmail.com', '1575284659199521')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (109, NULL, 'Garda Adriansyah S.IP', 'UNIVERSITAS BANGKA BELITUNG', 'Gloria.Mulyani76@gmail.com', '8031699078643597')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (110, 22, 'Patricia Rachmawati', 'UNIVERSITAS KALIMANTAN UTARA', 'Justine38@gmail.co.id', '4704018406709375')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (111, NULL, 'Carla Hastuti', 'UNIVERSITAS BENGKULU', 'Robin_Kusmawati43@gmail.co.id', '7528861440471771')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (112, NULL, 'Dian Melinda S.Psi', 'UNIVERSITAS RIAU', 'Dedric_Anjani57@yahoo.co.id', '9504344258117214')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (113, NULL, 'Danang Napitupulu', 'UNIVERSITAS SULAWESI TENGAH', 'Amina_Putri@yahoo.co.id', '4694596327259577')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (114, NULL, 'Garda Abiputra', 'UNIVERSITAS KALIMANTAN BARAT', 'Eli_Yudhistira@yahoo.co.id', '5491706967833929')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (115, 23, 'Uchita Usamah', 'UNIVERSITAS KALIMANTAN TENGAH', 'Martina_Nasyidah78@yahoo.co.id', '8476424504007963')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (116, NULL, 'Lantar Setiawan', 'UNIVERSITAS NUSA TENGGARA BARAT', 'Kyle.Nugraha@yahoo.com', '2104448752025896')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (117, NULL, 'Mariadi Sirait', 'UNIVERSITAS PAPUA', 'Felton_Ardiyanti49@gmail.com', '6639193350919193')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (118, NULL, 'Violet Harini', 'UNIVERSITAS NUSA TENGGARA TIMUR', 'Donavon_Prasetyo@gmail.com', '5132985444488503')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (119, NULL, 'Cengkir Winarno', 'UNIVERSITAS JAWA TENGAH', 'Miles_Mandala58@gmail.com', '8383178629695452')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (120, 24, 'Danuja Haikal', 'UNIVERSITAS GORONTALO', 'Gwen.Pratama@gmail.co.id', '5648519977297764')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (121, NULL, 'Ika Melani M.M.', 'UNIVERSITAS BANGKA BELITUNG', 'Kristin81@yahoo.com', '0766685264670508')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (122, NULL, 'Adikara Sirait', 'UNIVERSITAS BANTEN', 'Darren_Yuniar8@gmail.co.id', '4301637465847829')
