INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (1, 'Novita Wastuti', 'UNIVERSITAS MALUKU', 'Blaise.Widodo@gmail.com', 'FCILnxowDSvIx7d')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (12, 'Gawati Pudjiastuti', 'UNIVERSITAS ACEH', 'Kyleigh.Himawan@yahoo.com', '6Q8dvpRFP1l8lE0')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (13, 'Zulaikha Suryatmi', 'UNIVERSITAS BALI', 'Florine_Ananda89@gmail.co.id', 'vUhphEIHUelDf4p')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (14, 'Sasha Fernanda', 'UNIVERSITAS PAPUA', 'Axel.Agustian91@yahoo.co.id', 'PKZlHm4Y1scSaxM')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (15, 'Lintang Prastuti', 'UNIVERSITAS RIAU', 'Florence_Rahardian32@yahoo.com', 'tTYL_eE9RfE1Ahq')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (16, 'Laila Saraswati S.E.', 'UNIVERSITAS JAWA BARAT', 'Christophe21@yahoo.com', 'QzkXuUV8ca0Zonf')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (17, 'Samiah Utami', 'UNIVERSITAS JAWA TIMUR', 'Jayme.Halimah@gmail.co.id', 'TxliSgaAdMs3Fgy')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (18, 'Prasetyo Yudhistira S.Gz', 'UNIVERSITAS PAPUA BARAT', 'Chanel_Siregar90@yahoo.co.id', '5TOwgAtt_B4YfrY')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (19, 'Jagaraga Thamrin', 'UNIVERSITAS KALIMANTAN UTARA', 'Michel75@gmail.com', 'faoyXh8goOysdpq')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (20, 'Cici Febrianti', 'UNIVERSITAS SUMATERA UTARA', 'Danyka91@gmail.co.id', 'KOln_UqfQAQtmIz')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (21, 'Vega Airlangga', 'UNIVERSITAS RIAU', 'Ted.Saputri@yahoo.com', 'njtqPDS3H5CooSG')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (23, 'Lukman Halim M.TI.', 'UNIVERSITAS KALIMANTAN BARAT', 'Helen.Hutapea24@gmail.com', 'HfKMtl8wfaQydtt')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (22, 'Paramita Damayanti', 'UNIVERSITAS PAPUA', 'Keven.Salahudin@gmail.co.id', 'E7gSmRxv8tPEfpd')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (26, 'Novi Fujiati', 'UNIVERSITAS KALIMANTAN BARAT', 'Kane83@yahoo.co.id', 'eR7NZz7glsBpVnv')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (25, 'Jamal Maheswara', 'UNIVERSITAS BENGKULU', 'Zita_Handayani17@gmail.com', 'qCNifoA3Cah3qZ2')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (24, 'Danang Rajasa', 'UNIVERSITAS PAPUA', 'Toby.Alamsyah80@gmail.com', 'xSmVzb2LYzwT6bE')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (27, 'Empluk Pratama', 'UNIVERSITAS ACEH', 'Quentin_Himawan@yahoo.com', 'd5iPN2b6Pjm3Qnr')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (28, 'Ifa Aurelia', 'UNIVERSITAS GORONTALO', 'Kali_Sihombing56@yahoo.co.id', 'COL4olfExWKwZwy')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (29, 'Ami Fernanda', 'UNIVERSITAS JAMBI', 'Vinnie38@yahoo.com', '86ea8Zb6akgNfN5')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (30, 'Lestari Maheswari', 'UNIVERSITAS ACEH', 'Jada_Yanuar@gmail.co.id', '_KmfZNVveEGnQWU')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (31, 'Cakrawangsa Himawan', 'UNIVERSITAS KALIMANTAN BARAT', 'Leo_Jailani27@gmail.co.id', '46P6212Cplf_vm7')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (32, 'Nimas Wastuti', 'UNIVERSITAS SULAWESI BARAT', 'Elmo_Afifah94@yahoo.co.id', 'a2JG2z175NqG8dB')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (33, 'Amalia Purwanti S.T.', 'UNIVERSITAS JAWA TIMUR', 'Elinore10@gmail.com', '0JZybx5Syye1N1Y')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (34, 'Dagel Budiman', 'UNIVERSITAS KEPULAUAN RIAU', 'Abigail_Hardiansyah79@gmail.com', '0NbFWIDyCRG5wqf')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (35, 'Balijan Setiawan', 'UNIVERSITAS NUSA TENGGARA TIMUR', 'Lauren.Aurelia@gmail.co.id', '141sKo7irqT2LWW')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (36, 'Hasna Farida', 'UNIVERSITAS KALIMANTAN TIMUR', 'Ova_Saputra48@yahoo.co.id', 'BG0UIOysghJ5Ehp')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (37, 'Nugraha Kuswoyo', 'UNIVERSITAS JAWA BARAT', 'Kiara.Putri@yahoo.com', 'C8_6yHIFC2i5ekW')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (38, 'Prayitna Siregar', 'UNIVERSITAS KALIMANTAN TENGAH', 'Marley94@yahoo.com', 'OLaCGX72lES0o2O')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (39, 'Karsana Uwais', 'UNIVERSITAS MALUKU UTARA', 'Jordy.Mulyani@yahoo.com', 'vduSCmgpzkh1dSX')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (40, 'Luluh Arifin', 'UNIVERSITAS ACEH', 'Lilyan.Aurelia@yahoo.com', 'AlylkK2_PSR_y8x')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (41, 'Adika Arifin', 'UNIVERSITAS GORONTALO', 'Keira37@yahoo.com', '0DSya_lO8iP1YAT')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (42, 'Gabriella Farida', 'UNIVERSITAS SULAWESI TENGGARA', 'Katherine_Wulandari96@yahoo.com', 'YPUHeLWDauEydaN')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (43, 'Cahyo Pangestu', 'UNIVERSITAS JAWA BARAT', 'Declan29@gmail.co.id', '_yLmnSsWPfOKZ_u')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (44, 'Lembah Suwarno', 'UNIVERSITAS PAPUA BARAT', 'Johnnie_Ananda@yahoo.co.id', 'sKieFtq0u1r4Seb')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (46, 'Putri Puspasari M.Ak', 'UNIVERSITAS SUMATERA SELATAN', 'Edwardo66@yahoo.co.id', 'hmgsxchdMWPYDis')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (45, 'Lili Rahayu', 'UNIVERSITAS ACEH', 'Cordie.Maheswara7@yahoo.co.id', 'W9a9QR72rMJfs0m')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (48, 'Wulandari Ramadhani S.Ked', 'UNIVERSITAS SULAWESI BARAT', 'Forrest.Elvina@gmail.co.id', 'T4e5XPkYTv4Rxoi')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (47, 'Bagya Herlambang', 'UNIVERSITAS KALIMANTAN SELATAN', 'Irving_Yuniar40@gmail.co.id', '7nfn0OFilAnumLc')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (49, 'Wulan Suartini S.T.', 'UNIVERSITAS KALIMANTAN BARAT', 'Paula36@yahoo.co.id', 'rB5gc1v5HNZXO4O')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (50, 'Sarah Azizah', 'UNIVERSITAS SULAWESI SELATAN', 'Gladys_Simbolon@yahoo.com', 'dwbmMbjvJgIlBlB')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (51, 'Humaira Anandya', 'UNIVERSITAS JAWA TIMUR', 'Kasey_Purnawati@gmail.co.id', 'vhUutMZU8Bv_Z5j')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (52, 'Ifa Wulandari S.H.', 'UNIVERSITAS GORONTALO', 'Reagan.Rajasa52@yahoo.com', '3phauuO9fzoEqjk')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (53, 'Lanjar Marpaung', 'UNIVERSITAS KALIMANTAN TIMUR', 'Asia.Purnawati16@yahoo.com', 'Ts8VFx9zrSYLSrf')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (54, 'Darimin Suwarno', 'UNIVERSITAS SULAWESI BARAT', 'Aniyah_Halimah38@gmail.com', 'sGTvdFGDV_AFVJc')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (55, 'Tami Pudjiastuti', 'UNIVERSITAS BANGKA BELITUNG', 'Hailie_Yulianto66@yahoo.co.id', 'gVHeVFPt6g60xDr')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (56, 'Siska Anandya', 'UNIVERSITAS SULAWESI BARAT', 'Ardith66@gmail.com', 'YVlMrbRC7OUdA__')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (57, 'Faizah Afifah', 'UNIVERSITAS PAPUA BARAT', 'Shawn74@yahoo.co.id', '4a56rfFDFDzQ9f5')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (58, 'Mila Aryanti', 'UNIVERSITAS KALIMANTAN BARAT', 'Odie.Situmorang51@gmail.co.id', 'R5Edgb6rso6zvSW')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (59, 'Bala Maheswara', 'UNIVERSITAS PAPUA BARAT', 'Arturo91@gmail.com', '21pPAsI8ngvJtii')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (60, 'Dalima Susanti', 'UNIVERSITAS BANTEN', 'Ahmed.Aurelia31@gmail.co.id', '2BtKat2UN0ny8j8')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (61, 'Septi Andini M.Kom.', 'UNIVERSITAS BALI', 'Mary.Hartati@gmail.co.id', 'Vrb6Jz0rzSsWtVj')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (63, 'Jais Uwais', 'UNIVERSITAS SUMATERA SELATAN', 'Hosea_Kusmawati@yahoo.co.id', '_QQEo8qF_YEpElt')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (64, 'Salimah Nurlaela M.TI.', 'UNIVERSITAS BALI', 'Jabari39@gmail.com', 'U4yEIGnIYCFSSj6')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (65, 'Ana Melinda', 'UNIVERSITAS JAWA TENGAH', 'Lorna64@gmail.com', '1NXR_Zh13fWlTW9')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (66, 'Puspa Andriani', 'UNIVERSITAS PAPUA', 'Arjun_Laksmiwati76@yahoo.co.id', 'Z2aIYkAlMFcyqnx')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (67, 'Gasti Ananda', 'UNIVERSITAS LAMPUNG', 'Trevion.Rachmawati@yahoo.com', '74WX7JT9pBQXUvx')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (62, 'Adikara Supriyanto S.E.I', 'UNIVERSITAS RIAU', 'Alberto55@yahoo.com', 'b7spnFg_EQnrUXh')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (68, 'Luwar Megantara S.E.', 'UNIVERSITAS JAMBI', 'Halle_Mustofa@gmail.co.id', 'mqnDj4U762iWmTO')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (69, 'Aisyah Ningrum M.Farm', 'UNIVERSITAS BANGKA BELITUNG', 'Rowena_Winarno93@yahoo.co.id', 'VaWv3v1RxdR2XbP')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (70, 'Gambira Arifin S.Farm', 'UNIVERSITAS PAPUA BARAT', 'Fidel.Pradipta69@gmail.co.id', 'NWgt9QmX5SnUwex')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (71, 'Irsad Purnawarman', 'UNIVERSITAS NUSA TENGGARA BARAT', 'Nyah.Saraswati35@yahoo.com', 'hP8PoihDnKeu9zJ')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (72, 'Eva Padmasari S.Ked', 'UNIVERSITAS BENGKULU', 'Johnpaul_Wahyuni@gmail.com', 'VLZOMjAvRe3IzXM')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (73, 'Lantar Antoni M.M.', 'UNIVERSITAS KEPULAUAN RIAU', 'Alayna.Darmawan79@yahoo.co.id', 'oow0ZrnaWtIg4OQ')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (74, 'Icha Salsabilla', 'UNIVERSITAS PAPUA', 'Khalid.Maheswari47@gmail.com', 'xtqbE4aL5YhYbrl')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (75, 'Wage Ardianto', 'UNIVERSITAS SULAWESI BARAT', 'Joel36@gmail.com', 'Dr9O6_Usz_z3WvQ')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (76, 'Belinda Prastuti S.I.Kom', 'UNIVERSITAS SULAWESI TENGGARA', 'Lizeth.Adhitama@gmail.co.id', 'hsQRCtxc7ITOxVW')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (77, 'Cengkal Jailani', 'UNIVERSITAS MALUKU UTARA', 'Shaylee.Ardianto@gmail.co.id', 'j415AFVBr_xbauH')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (78, 'Gangsar Hermawan', 'UNIVERSITAS SUMATERA BARAT', 'Myah85@gmail.com', 'gA6IwS1C14mUxSM')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (79, 'Dyah Hassanah S.Farm', 'UNIVERSITAS KALIMANTAN UTARA', 'Marty_Mangunsong23@yahoo.com', 'VBH9ob4BiqT1rYM')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (80, 'Cagak Sihotang', 'UNIVERSITAS MALUKU', 'Napoleon76@yahoo.com', 'JQteTi2fKNaxjHI')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (81, 'Xanana Narpati', 'UNIVERSITAS SULAWESI TENGGARA', 'Tito84@yahoo.co.id', 'bexgU2e4i6VNm0L')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (82, 'Paris Putri M.TI.', 'UNIVERSITAS KALIMANTAN BARAT', 'Kirsten_Natsir7@yahoo.com', 'pLB5mp54f8n2nkM')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (83, 'Ciaobella Harini', 'UNIVERSITAS SULAWESI SELATAN', 'Tevin48@gmail.co.id', 'aJB_tKjO05TWxdZ')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (84, 'Humaira Lestari', 'UNIVERSITAS SULAWESI TENGGARA', 'Emelie.Susanti81@gmail.co.id', '2c4aWKg05he46pD')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (85, 'Halima Mardhiyah M.Ak', 'UNIVERSITAS MALUKU', 'Logan32@gmail.co.id', '6Ua2zsRmYHd1Uqb')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (86, 'Wahyu Natsir', 'UNIVERSITAS MALUKU UTARA', 'Johan.Nurdiyanti90@yahoo.co.id', 'vCo8N8wSpw125j_')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (87, 'Lidya Purnama', 'UNIVERSITAS GORONTALO', 'Jody_Sirait@yahoo.com', 'bLqhFLu42DW8akd')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (88, 'Zelda Hariyah', 'UNIVERSITAS BANTEN', 'Jaren69@gmail.co.id', 'oJt8zIbQMkk38EG')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (89, 'Mahdi Abiputra', 'UNIVERSITAS SULAWESI TENGAH', 'Mario37@gmail.co.id', 'm0qCZuF11S67I_h')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (90, 'Rina Harini', 'UNIVERSITAS PAPUA BARAT', 'Giovanna.Rahardian@gmail.com', 'cP9pw9kBKH7Lm3y')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (91, 'Adinata Jailani', 'UNIVERSITAS SULAWESI UTARA', 'Aleen_Januar68@gmail.com', 'JocFnT4iU15R14F')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (92, 'Rachel Laksita', 'UNIVERSITAS DKI JAKARTA', 'Elisha30@yahoo.com', 'kuDkgOVHbJaYDKF')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (93, 'Zamira Aryani', 'UNIVERSITAS GORONTALO', 'Zella_Maharani34@yahoo.com', 'IvINeywm9qwbGPa')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (94, 'Ihsan Wibisono', 'UNIVERSITAS SULAWESI TENGGARA', 'Albina.Ananda15@yahoo.com', 'XLiUts4AxgvrqRk')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (95, 'Almira Kuswandari', 'UNIVERSITAS SULAWESI TENGGARA', 'Cleveland.Puspasari@gmail.com', 'DDqwnN2YgCQCfcH')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (96, 'Bakidin Lazuardi', 'UNIVERSITAS MALUKU UTARA', 'Kiera_Lesmana@gmail.co.id', 'PhwMu3GTZDcj4iD')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (97, 'Hesti Yulianti', 'UNIVERSITAS JAWA TIMUR', 'Felicity_Wulandari18@yahoo.co.id', '2SgzuWObLYkwY_q')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (98, 'Panji Alamsyah S.Kom', 'UNIVERSITAS MALUKU', 'Gaston_Jailani@yahoo.com', 'hFhuBhIqC12yLUs')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (99, 'Jayadi Nababan M.TI.', 'UNIVERSITAS PAPUA', 'Mikel80@gmail.co.id', 'tpfuRKGLNje5_tf')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (100, 'Kasiyah Agustina', 'UNIVERSITAS DKI JAKARTA', 'Dwight.Sinaga69@yahoo.com', '9WXdxJTeBH0Hps4')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (101, 'Umi Sudiati M.Ak', 'UNIVERSITAS PAPUA BARAT', 'Jeffrey.Astuti@yahoo.com', 'lOM6MKvVtm0HEbx')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (102, 'Yunita Winarsih', 'UNIVERSITAS JAWA TIMUR', 'Sylvia.Gunarto25@gmail.co.id', '5CCeq8qG2dNpTXM')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (103, 'Diah Damayanti M.Farm', 'UNIVERSITAS KALIMANTAN BARAT', 'Jaylen30@yahoo.com', 'BHLWU2YjjedWsKO')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (104, 'Clara Nasyiah M.TI.', 'UNIVERSITAS KALIMANTAN TENGAH', 'Elisabeth_Wahyudin85@gmail.com', 'cQvZSL24B2KHG8U')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (105, 'Banawi Prasetya', 'UNIVERSITAS MALUKU UTARA', 'Wilhelmine22@gmail.co.id', 'P7DQDPruHUDtDX4')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (106, 'Zulaikha Melinda', 'UNIVERSITAS KALIMANTAN UTARA', 'Shayna.Fernanda20@gmail.co.id', 'Dq5anWP7mliLqmT')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (107, 'Asirwanda Ramadan M.Farm', 'UNIVERSITAS DKI JAKARTA', 'Tyrique26@yahoo.co.id', 'onpFzZl0LZyYulm')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (108, 'Indira Melinda', 'UNIVERSITAS SULAWESI TENGAH', 'Jess.Setiawan@gmail.com', 'jeHvEe_Tt54q9ju')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (109, 'Ozy Winarno', 'UNIVERSITAS NUSA TENGGARA TIMUR', 'Adrienne_Afifah@gmail.co.id', 'PtVruIOGULLdoXY')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (110, 'Kezia Wulandari M.Pd', 'UNIVERSITAS KALIMANTAN TENGAH', 'Heloise_Farida4@yahoo.com', 'poOCDtNJB9Yv_Pt')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (111, 'Cornelia Mustika', 'UNIVERSITAS SUMATERA UTARA', 'Anabel6@gmail.com', 'pzP5hblaurP6V94')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (112, 'Asirwanda Sinaga', 'UNIVERSITAS MALUKU UTARA', 'Alexander48@gmail.com', 'c3MEGM1U7EVewly')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (113, 'Fitriani Saputri', 'UNIVERSITAS BANTEN', 'Jayson.Anjani@gmail.co.id', 'T5RyI3GStqCABIw')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (114, 'Rahmat Arifin', 'UNIVERSITAS NUSA TENGGARA BARAT', 'Axel.Fujiati79@gmail.com', 'AbzBxo_04eDve1a')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (115, 'Endah Pratiwi S.T.', 'UNIVERSITAS KALIMANTAN SELATAN', 'Danika_Oktovian@gmail.com', '7bBYsa9GMMRJc1_')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (116, 'Chelsea Suryatmi', 'UNIVERSITAS BENGKULU', 'Alda65@gmail.co.id', 'hZItb1dJrC8lyZT')
